1
59 737
0 1 100
0 2 29
0 8 55
0 12 19
0 21 97
0 22 64
0 23 92
0 24 55
0 25 1
0 28 13
0 31 69
0 34 54
0 36 92
0 38 5
0 40 79
0 44 4
0 46 69
0 50 43
0 54 24
0 57 81
1 4 60
1 8 89
1 11 14
1 12 16
1 13 80
1 17 80
1 18 64
1 19 43
1 20 98
1 21 90
1 32 49
1 35 20
1 39 63
1 40 43
1 41 16
1 42 83
1 47 10
1 48 55
1 49 27
1 51 5
1 52 73
1 54 77
1 56 28
1 57 24
1 58 73
2 3 8
2 6 5
2 8 36
2 13 20
2 14 57
2 17 87
2 20 94
2 22 36
2 30 98
2 32 85
2 34 24
2 39 97
2 44 13
2 46 78
2 47 92
2 48 35
2 49 20
2 50 24
2 51 56
2 52 59
2 53 23
2 56 67
2 57 8
2 58 22
3 6 66
3 7 57
3 8 29
3 13 28
3 19 69
3 20 75
3 23 15
3 26 11
3 28 34
3 31 36
3 36 46
3 39 17
3 43 50
3 44 96
3 46 74
3 47 57
3 48 62
3 50 72
3 51 62
3 55 57
3 56 67
3 58 64
4 6 93
4 10 64
4 11 4
4 12 37
4 13 12
4 14 94
4 15 19
4 18 84
4 19 20
4 22 52
4 24 90
4 25 30
4 30 48
4 34 95
4 36 91
4 39 30
4 43 25
4 45 29
4 52 58
4 53 4
4 54 56
4 58 39
5 6 70
5 10 39
5 13 87
5 15 82
5 16 31
5 19 86
5 21 88
5 24 21
5 29 91
5 30 65
5 32 2
5 37 1
5 38 90
5 44 3
5 46 2
5 47 25
5 48 42
5 49 95
5 51 93
5 52 33
5 53 98
5 55 91
6 9 54
6 11 62
6 13 6
6 16 92
6 20 7
6 22 100
6 24 65
6 25 73
6 26 63
6 28 62
6 30 58
6 32 48
6 36 54
6 37 45
6 39 1
6 41 38
6 42 25
6 46 4
6 47 64
6 48 7
6 50 67
6 51 67
6 58 71
7 10 69
7 11 4
7 12 7
7 14 64
7 15 76
7 16 24
7 19 64
7 21 7
7 24 82
7 27 7
7 33 40
7 34 39
7 35 51
7 36 64
7 37 31
7 38 21
7 39 43
7 41 99
7 43 80
7 45 49
7 46 43
7 52 47
7 57 51
7 58 74
8 9 6
8 13 36
8 14 47
8 15 22
8 16 33
8 18 52
8 20 93
8 22 82
8 23 85
8 25 67
8 27 78
8 28 18
8 33 87
8 34 29
8 36 26
8 38 44
8 40 80
8 48 35
8 50 97
8 51 9
8 53 70
8 54 58
8 58 71
9 10 68
9 11 43
9 14 31
9 15 14
9 17 8
9 18 57
9 21 58
9 23 15
9 24 68
9 28 97
9 30 50
9 32 45
9 34 33
9 36 67
9 37 8
9 40 81
9 44 39
9 47 62
9 48 79
9 50 38
9 52 31
9 53 100
9 54 44
9 55 66
9 56 13
10 11 93
10 12 5
10 14 94
10 17 96
10 19 65
10 22 31
10 24 11
10 27 94
10 29 35
10 31 65
10 33 42
10 34 26
10 36 4
10 38 67
10 40 58
10 43 10
10 44 87
10 45 71
10 46 87
10 49 26
10 53 49
10 54 8
11 12 8
11 13 2
11 16 80
11 17 96
11 19 44
11 22 60
11 26 40
11 35 56
11 37 46
11 39 98
11 41 30
11 42 23
11 46 79
11 48 44
11 49 100
11 52 48
11 54 16
11 55 65
11 57 49
11 58 7
12 13 32
12 17 23
12 19 49
12 23 5
12 24 75
12 27 41
12 31 16
12 33 2
12 39 52
12 45 24
12 50 36
12 52 77
12 53 60
12 54 44
12 57 47
12 58 78
13 14 44
13 16 23
13 22 45
13 23 10
13 28 95
13 31 96
13 32 61
13 34 23
13 41 59
13 42 90
13 43 24
13 46 29
13 47 90
13 48 91
13 49 75
13 50 70
13 51 44
13 54 15
13 56 5
13 58 25
14 17 3
14 18 44
14 19 88
14 21 53
14 26 41
14 28 12
14 32 98
14 34 56
14 35 61
14 37 12
14 40 75
14 45 52
14 47 73
14 49 98
14 50 37
14 51 66
14 56 87
14 57 46
14 58 28
15 17 18
15 20 67
15 21 65
15 26 31
15 27 10
15 28 12
15 29 28
15 34 75
15 35 66
15 36 25
15 39 11
15 40 34
15 42 99
15 44 49
15 47 47
15 49 11
15 50 98
15 52 82
15 54 100
15 57 88
15 58 80
16 18 11
16 21 3
16 22 72
16 23 20
16 26 60
16 30 61
16 35 50
16 38 40
16 39 70
16 40 32
16 41 33
16 48 51
17 20 55
17 21 30
17 26 66
17 27 83
17 29 34
17 30 74
17 32 39
17 33 15
17 34 83
17 37 50
17 38 82
17 41 51
17 42 66
17 43 58
17 46 85
17 47 18
17 48 90
17 52 98
17 54 42
18 20 64
18 22 48
18 23 20
18 26 78
18 30 80
18 33 24
18 34 10
18 36 74
18 38 32
18 41 63
18 44 51
18 45 82
18 46 8
18 48 37
18 54 39
18 57 89
18 58 55
19 20 18
19 25 43
19 28 93
19 40 100
19 41 83
19 43 64
19 46 39
19 53 25
19 54 78
19 58 30
20 21 50
20 22 65
20 23 42
20 26 42
20 29 81
20 31 11
20 36 87
20 38 15
20 40 69
20 47 41
20 49 42
20 50 47
20 53 71
21 23 66
21 25 95
21 26 9
21 28 74
21 31 3
21 33 84
21 34 10
21 36 77
21 39 28
21 40 61
21 45 91
21 47 24
21 49 14
21 50 45
21 51 13
21 53 19
21 54 20
21 55 16
21 57 58
21 58 38
22 26 91
22 27 33
22 30 94
22 32 35
22 33 14
22 34 82
22 36 16
22 38 81
22 42 42
22 43 13
22 48 60
22 49 31
22 50 13
22 55 2
22 57 61
23 24 77
23 25 93
23 27 86
23 28 19
23 32 88
23 36 16
23 38 42
23 39 84
23 41 87
23 42 17
23 43 16
23 44 54
23 47 9
23 50 53
23 52 53
23 54 50
23 56 18
23 57 88
24 27 20
24 29 80
24 30 90
24 31 81
24 33 30
24 35 32
24 37 87
24 39 97
24 41 94
24 42 3
24 48 49
24 49 2
24 50 91
24 52 68
24 54 26
24 56 2
24 57 64
24 58 72
25 27 28
25 28 88
25 29 7
25 30 36
25 32 4
25 33 37
25 35 97
25 37 39
25 41 85
25 44 96
25 46 100
25 47 27
25 48 88
25 50 79
25 51 82
25 52 20
25 56 8
25 58 8
26 32 62
26 33 78
26 35 89
26 36 52
26 39 33
26 42 90
26 43 41
26 45 13
26 46 46
26 51 8
26 52 19
26 53 26
27 28 57
27 31 71
27 32 56
27 33 35
27 35 80
27 36 70
27 38 62
27 41 42
27 42 15
27 43 42
27 50 2
27 57 37
28 29 46
28 33 20
28 34 13
28 35 61
28 36 24
28 37 28
28 40 39
28 42 47
28 44 58
28 48 86
28 51 25
28 53 92
28 54 37
29 31 32
29 32 3
29 33 82
29 34 24
29 35 32
29 39 55
29 40 29
29 41 30
29 42 44
29 44 7
29 45 67
29 48 22
29 49 23
29 57 77
29 58 100
30 32 87
30 33 41
30 35 98
30 37 56
30 38 18
30 40 38
30 43 94
30 45 2
30 50 38
30 52 82
30 53 78
30 56 65
31 32 100
31 34 97
31 36 93
31 37 5
31 45 98
31 46 98
31 47 83
31 48 93
31 49 25
31 50 41
31 54 30
31 57 10
31 58 42
32 33 81
32 35 39
32 36 46
32 37 73
32 38 74
32 42 69
32 44 50
32 47 88
32 49 35
32 50 96
32 51 81
32 52 17
32 56 99
33 34 57
33 35 2
33 40 43
33 42 18
33 43 36
33 44 19
33 45 14
33 46 30
33 47 31
33 49 47
33 57 74
34 36 87
34 37 41
34 38 21
34 39 52
34 40 10
34 43 40
34 44 74
34 46 70
34 50 68
34 51 51
34 55 21
34 56 8
34 58 15
